date,breakfast,lunch,snacks,dinner,day,month,breakfast_footfall,lunch_footfall,snacks_footfall,dinner_footfall,breakfast_proportion,lunch_proportion,snacks_proportion,dinner_proportion,bogo,celebration,chicken,weekend,exam,guest,holiday,fasting,north
01-05-2023 00:00,111,195,108,137,Monday,May,225,277,225,225,0.49333333333333335,0.703971119133574,0.48,0.6088888888888889,0,0,1,0,0,0,0,0,0
02-05-2023 00:00,95,175,115,138,Tuesday,May,225,277,225,225,0.4222222222222222,0.631768953068592,0.5111111111111111,0.6133333333333333,0,0,0,0,0,0,0,0,0
03-05-2023 00:00,95,203,129,134,Wednesday,May,225,277,225,225,0.4222222222222222,0.7328519855595668,0.5733333333333334,0.5955555555555555,1,0,1,0,0,0,0,0,0
04-05-2023 00:00,93,184,131,179,Thursday,May,225,277,225,225,0.41333333333333333,0.6642599277978339,0.5822222222222222,0.7955555555555556,0,0,0,0,0,0,0,0,0
05-05-2023 00:00,112,121,95,117,Friday,May,225,277,225,225,0.49777777777777776,0.4368231046931408,0.4222222222222222,0.52,1,0,1,0,0,0,0,0,0
06-05-2023 00:00,107,119,99,156,Saturday,May,163,215,163,163,0.656441717791411,0.5534883720930233,0.6073619631901841,0.9570552147239264,0,0,0,1,0,0,0,0,0
07-05-2023 00:00,85,126,100,166,Sunday,May,163,215,163,163,0.5214723926380368,0.586046511627907,0.6134969325153374,0.85,0,0,0,1,0,0,0,0,0
08-05-2023 00:00,112,185,109,142,Monday,May,225,277,225,225,0.49777777777777776,0.6678700361010831,0.48444444444444446,0.6311111111111111,0,0,1,0,0,0,0,0,0
09-05-2023 00:00,90,172,127,181,Tuesday,May,225,277,225,225,0.4,0.6209386281588448,0.5644444444444444,0.8044444444444444,0,0,0,0,0,0,0,0,0
10-05-2023 00:00,126,193,113,121,Wednesday,May,225,277,225,225,0.56,0.6967509025270758,0.5022222222222222,0.5377777777777778,1,0,1,0,0,0,0,0,0
11-05-2023 00:00,56,166,122,147,Thursday,May,225,277,225,225,0.24888888888888888,0.5992779783393501,0.5422222222222223,0.6533333333333333,0,0,0,0,0,0,0,0,0
12-05-2023 00:00,92,127,69,85,Friday,May,225,277,225,225,0.4088888888888889,0.4584837545126354,0.30666666666666664,0.37777777777777777,1,0,1,0,0,0,0,0,0
13-05-2023 00:00,78,137,115,97,Saturday,May,163,215,163,163,0.4785276073619632,0.6372093023255814,0.7055214723926381,0.5950920245398773,0,0,0,1,0,0,0,0,0
14-05-2023 00:00,83,176,124,131,Sunday,May,163,215,163,163,0.50920245398773,0.8186046511627907,0.7607361963190185,0.803680981595092,0,0,0,1,0,0,0,0,0
15-05-2023 00:00,99,187,116,181,Monday,May,225,277,225,225,0.44,0.6750902527075813,0.5155555555555555,0.8044444444444444,0,0,1,0,0,0,0,0,0
16-05-2023 00:00,127,176,110,181,Tuesday,May,225,277,225,225,0.5644444444444444,0.6353790613718412,0.4888888888888889,0.8044444444444444,0,0,0,0,0,0,0,0,0
17-05-2023 00:00,112,201,119,145,Wednesday,May,225,277,225,225,0.49777777777777776,0.7256317689530686,0.5288888888888889,0.6444444444444445,1,0,1,0,0,0,0,0,0
18-05-2023 00:00,110,170,105,135,Thursday,May,225,277,225,225,0.4888888888888889,0.6137184115523465,0.4666666666666667,0.6,0,0,0,0,0,0,0,0,0
19-05-2023 00:00,121,182,117,141,Friday,May,225,277,225,225,0.5377777777777778,0.6570397111913358,0.52,0.6266666666666667,1,0,1,0,0,0,0,0,0
20-05-2023 00:00,122,178,89,113,Saturday,May,163,215,163,163,0.7484662576687117,0.827906976744186,0.5460122699386503,0.6932515337423313,0,0,0,1,0,0,0,0,0
21-05-2023 00:00,107,123,134,151,Sunday,May,163,215,163,163,0.656441717791411,0.5720930232558139,0.8220858895705522,0.9263803680981595,0,0,0,1,0,0,0,0,0
22-05-2023 00:00,119,194,107,102,Monday,May,225,277,225,225,0.5288888888888889,0.7003610108303249,0.47555555555555556,0.4533333333333333,0,0,1,0,0,0,0,0,0
23-05-2023 00:00,95,198,107,129,Tuesday,May,225,277,225,225,0.4222222222222222,0.7148014440433214,0.47555555555555556,0.5733333333333334,0,0,0,0,0,0,0,0,0
24-05-2023 00:00,82,156,96,106,Wednesday,May,225,277,225,225,0.36444444444444446,0.5631768953068592,0.4266666666666667,0.4711111111111111,1,0,1,0,0,0,0,0,0
25-05-2023 00:00,84,100,66,64,Thursday,May,225,277,225,225,0.37333333333333335,0.36101083032490977,0.29333333333333333,0.28444444444444444,0,0,0,0,0,0,0,0,0
26-05-2023 00:00,87,89,47,83,Friday,May,225,277,225,225,0.38666666666666666,0.3212996389891697,0.2088888888888889,0.3688888888888889,1,0,1,0,0,0,0,0,0
27-05-2023 00:00,56,72,46,65,Saturday,May,163,215,163,163,0.34355828220858897,0.33488372093023255,0.2822085889570552,0.3987730061349693,0,0,0,1,0,0,0,0,0
28-05-2023 00:00,65,38,47,47,Sunday,May,163,215,163,163,0.3987730061349693,0.17674418604651163,0.2883435582822086,0.2883435582822086,0,0,0,1,0,0,0,0,0
29-05-2023 00:00,51,81,36,73,Monday,May,225,277,225,225,0.22666666666666666,0.2924187725631769,0.16,0.3244444444444444,0,0,1,0,0,0,0,0,0
30-05-2023 00:00,63,83,46,74,Tuesday,May,225,277,225,225,0.28,0.2996389891696751,0.20444444444444446,0.3288888888888889,0,0,0,0,0,0,0,0,0
31-05-2023 00:00,60,94,65,36,Wednesday,May,225,277,225,225,0.26666666666666666,0.33935018050541516,0.28888888888888886,0.16,1,0,1,0,0,0,0,0,0
